# nucl dec Total(s)  Bp(1+)(s)  Bp(1-)(s)  Bp(0-)(s)  Bp(2-)(s)  EC(1+)(s)  EC(1-)(s)  EC(0-)(s)  EC(2-)(s) 
 Hs258 HL+ 2.567502e+00 9.800215e+01 3.083759e+01 2.586966e+02 5.543710e+03 7.405264e+00 5.042249e+00 2.649576e+02 1.764152e+02
 Hs259 HL+ 2.715470e+00 9.950636e+01 3.740062e+01 3.197783e+02 5.319096e+03 7.107810e+00 5.584018e+00 3.019320e+02 1.971128e+02
 Hs260 HL+ 3.808966e+00 1.604368e+02 7.133704e+01 5.227180e+02 2.416887e+04 9.720868e+00 7.564789e+00 3.415270e+02 4.269565e+02
 Hs261 HL+ 3.034462e+00 7.897391e+01 9.211306e+01 6.347592e+02 2.584568e+04 5.499223e+00 8.485361e+00 3.728657e+02 4.903980e+02
 Hs262 HL+ 7.420629e+00 2.130613e+03 1.777418e+02 8.626546e+02 8.555846e+04 5.282701e+01 9.527034e+00 4.213117e+02 8.160839e+02
 Hs263 HL+ 8.447651e+00 6.057497e+03 2.135158e+02 8.420642e+02 1.083398e+05 8.826687e+01 1.020446e+01 4.967298e+02 1.008162e+03
 Hs264 HL+ 1.215611e+01 2.279915e+04 5.005385e+02 2.453031e+03 3.490347e+05 1.451815e+02 1.410301e+01 7.006863e+02 1.697975e+03
 Hs265 HL+ 1.330371e+01 3.751009e+04 5.696250e+02 1.365816e+03 4.082559e+05 1.701024e+02 1.537672e+01 8.372771e+02 1.839393e+03
 Hs266 HL+ 2.046625e+01 1.115643e+05 1.300681e+03 1.146550e+04 9.918251e+05 2.701531e+02 2.312682e+01 1.322859e+03 3.361016e+03
 Hs267 HL+ 2.009376e+01 3.072185e+05 1.053212e+03 3.916419e+04 8.053386e+05 4.428129e+02 2.186279e+01 2.087141e+03 3.226308e+03
 Hs268 HL+ 4.195221e+01 6.347381e+05 3.498856e+03 1.713659e+05 3.175327e+06 4.890205e+02 4.761167e+01 2.700303e+03 8.023870e+03
 Hs269 HL+ 5.103443e+01 3.344579e+05 3.446606e+03 7.543372e+06 2.361258e+06 5.832050e+02 5.811039e+01 4.011331e+03 7.791538e+03
 Hs270 HL+ 4.147983e+02 1.233993e+11 2.942885e+11 9.843616e+08 2.057190e+11 2.334119e+03 5.611381e+02 5.151449e+03 1.620927e+05
 Hs271 HL+ 2.568756e+03 5.305472e+10 1.000000e+10 1.000000e+10 1.000000e+10 3.891845e+03 1.319405e+04 1.791606e+04 1.355054e+06
